              <td>0.125</td>
              <td>0</td>
          </tr>
          <tr id="LC1053" class="js-file-line">
            <td id="L1053" class="blob-num js-line-number" data-line-number="1053"></td>
              <td>1051</td>
              <td>2018-En-04074</td>
              <td>Even though it&#39;s the hardest. Maturity is walking away from people that threaten your peace of mind, self respect, morals, and self worth.</td>
              <td>fear</td>
              <td>0.32</td>
              <td>0</td>
          </tr>
          <tr id="LC1054" class="js-file-line">
            <td id="L1054" class="blob-num js-line-number" data-line-number="1054"></td>
              <td>1052</td>
              <td>2018-En-01756</td>
              <td>Snorkel time #fury key west</td>
              <td>anger</td>
              <td>0.28</td>
              <td>0</td>
          </tr>
          <tr id="LC1055" class="js-file-line">
            <td id="L1055" class="blob-num js-line-number" data-line-number="1055"></td>
              <td>1053</td>
              <td>2018-En-00073</td>
              <td>@Skinnytaste made your Chicken Tikka Masala w/ cauliflower &amp;amp; peas tonight. So delicious didn&#39;t even get a chance to snap a pic! #delicious</td>
              <td>joy</td>
              <td>0.5760000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC1056" class="js-file-line">
            <td id="L1056" class="blob-num js-line-number" data-line-number="1056"></td>
              <td>1054</td>
              <td>2018-En-02053</td>
              <td>@AishaRuby85 thank you very much. I keep gettin the excited kid on ur bday feeling 😊</td>
              <td>joy</td>
              <td>0.8590000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC1057" class="js-file-line">
            <td id="L1057" class="blob-num js-line-number" data-line-number="1057"></td>
              <td>1055</td>
              <td>2018-En-02608</td>
              <td>#NoBetterFeelingThan teetering right on the edge..\n\n#joy #pleasure #happiness #bliss #anticipation</td>
              <td>joy</td>
              <td>0.8440000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC1058" class="js-file-line">
            <td id="L1058" class="blob-num js-line-number" data-line-number="1058"></td>
              <td>1056</td>
              <td>2018-En-02419</td>
              <td>Nice to be able to turn the alarm clock off until next Tuesday morning. #awesome</td>
              <td>joy</td>
              <td>0.531</td>
              <td>0</td>
          </tr>
          <tr id="LC1059" class="js-file-line">
            <td id="L1059" class="blob-num js-line-number" data-line-number="1059"></td>
              <td>1057</td>
              <td>2018-En-02416</td>
              <td>@nadisaonline i&#39;m very happy glad or whatever the feelings i&#39;m not into dramas</td>
              <td>joy</td>
              <td>0.7190000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC1060" class="js-file-line">
            <td id="L1060" class="blob-num js-line-number" data-line-number="1060"></td>
              <td>1058</td>
              <td>2018-En-02152</td>
              <td>#Laughter creates a #positive #aura &amp;amp; transforms you into the most #beautiful , #dynamic &amp;amp; #attractive person. \n#Yoga #YogaLaugh</td>
              <td>joy</td>
              <td>0.688</td>
              <td>0</td>
          </tr>
          <tr id="LC1061" class="js-file-line">
            <td id="L1061" class="blob-num js-line-number" data-line-number="1061"></td>
              <td>1059</td>
              <td>2018-En-00748</td>
              <td>When the water is boiling add in the spagetti</td>
              <td>anger</td>
              <td>0.188</td>
              <td>0</td>
          </tr>
          <tr id="LC1062" class="js-file-line">
            <td id="L1062" class="blob-num js-line-number" data-line-number="1062"></td>
              <td>1060</td>
              <td>2018-En-04343</td>
              <td>A simple wallpaper ever 😂</td>
              <td>joy</td>
              <td>0.53</td>
              <td>0</td>
          </tr>
          <tr id="LC1063" class="js-file-line">
            <td id="L1063" class="blob-num js-line-number" data-line-number="1063"></td>
              <td>1061</td>
              <td>2018-En-00193</td>
              <td>Make her burst into laughter bcs of you.</td>
              <td>joy</td>
              <td>0.632</td>
              <td>0</td>
          </tr>
          <tr id="LC1064" class="js-file-line">
            <td id="L1064" class="blob-num js-line-number" data-line-number="1064"></td>
              <td>1062</td>
              <td>2018-En-03245</td>
              <td>@SenFeinstein @SenatorDurbin @SenFranken will @GOP donors like @HobbyLobby be prosecuted by FBI Dir for known #materialsupport </td>
              <td>fear</td>
              <td>0.31</td>
              <td>0</td>
          </tr>
          <tr id="LC1065" class="js-file-line">
            <td id="L1065" class="blob-num js-line-number" data-line-number="1065"></td>
              <td>1063</td>
              <td>2018-En-01608</td>
              <td>@Jamiebower first second on #WillTNT is music to my ears 😭❤️ #shaking #missedyou</td>
              <td>fear</td>
              <td>0.391</td>
              <td>0</td>
          </tr>
          <tr id="LC1066" class="js-file-line">
            <td id="L1066" class="blob-num js-line-number" data-line-number="1066"></td>
              <td>1064</td>
              <td>2018-En-00814</td>
              <td>@MinxieButt Not even from our own kind 😅 But I don&#39;t need any anons if I can feel the appreciation from fellow shippers every other day 😊</td>
              <td>joy</td>
              <td>0.625</td>
              <td>0</td>
          </tr>
          <tr id="LC1067" class="js-file-line">
            <td id="L1067" class="blob-num js-line-number" data-line-number="1067"></td>
              <td>1065</td>
              <td>2018-En-01777</td>
              <td>#Past #success or #failure is no #indicator of #future #performance DON&#39;T be #afraid to take a #risk.</td>
              <td>fear</td>
              <td>0.38299999999999995</td>
              <td>0</td>
          </tr>
          <tr id="LC1068" class="js-file-line">
            <td id="L1068" class="blob-num js-line-number" data-line-number="1068"></td>
              <td>1066</td>
              <td>2018-En-04149</td>
              <td>being an entrepreneur at 18 is a real blessing 🙏🏼 the flexibility, doing what you love, and being the one in charge is #great #blessed</td>
              <td>joy</td>
              <td>0.75</td>
              <td>0</td>
          </tr>
          <tr id="LC1069" class="js-file-line">
            <td id="L1069" class="blob-num js-line-number" data-line-number="1069"></td>
              <td>1067</td>
              <td>2018-En-03981</td>
              <td>Happy birthday to me 😄 no I&#39;m not lucky I&#39;m blessed yes 😂</td>
              <td>joy</td>
              <td>0.875</td>
              <td>0</td>
          </tr>
          <tr id="LC1070" class="js-file-line">
            <td id="L1070" class="blob-num js-line-number" data-line-number="1070"></td>
              <td>1068</td>
              <td>2018-En-03978</td>
              <td>A bit late but had to say Love You Zindagi by The Live 100 experience gave me goosebumps!Big shout to all of them! #awesomeness at its peak</td>
              <td>joy</td>
              <td>0.758</td>
              <td>0</td>
          </tr>
          <tr id="LC1071" class="js-file-line">
            <td id="L1071" class="blob-num js-line-number" data-line-number="1071"></td>
              <td>1069</td>
              <td>2018-En-01164</td>
              <td>Music is so empowering. \nit can literally bring people tears, smiles, laughter, and so many emotions</td>
              <td>sadness</td>
              <td>0.146</td>
              <td>0</td>
          </tr>
          <tr id="LC1072" class="js-file-line">
            <td id="L1072" class="blob-num js-line-number" data-line-number="1072"></td>
              <td>1070</td>
              <td>2018-En-01147</td>
              <td>There are recipes for #porkchops w apple cider glaze but has anyone tried the meat steeped in the vinegar &amp;amp; #BBQ w hickory smoke? #delicious</td>
              <td>joy</td>
              <td>0.516</td>
              <td>0</td>
          </tr>
          <tr id="LC1073" class="js-file-line">
            <td id="L1073" class="blob-num js-line-number" data-line-number="1073"></td>
              <td>1071</td>
              <td>2018-En-01865</td>
              <td>Vegas, you won. </td>
              <td>sadness</td>
              <td>0.142</td>
              <td>0</td>
          </tr>
          <tr id="LC1074" class="js-file-line">
            <td id="L1074" class="blob-num js-line-number" data-line-number="1074"></td>
              <td>1072</td>
              <td>2018-En-03265</td>
              <td>We cannot let @Comcast #bully any #indiedev into paying them for a &#39;faster lane&#39;. Most indie devs don&#39;t have these funds. But @EA does!</td>
              <td>fear</td>
              <td>0.375</td>
              <td>0</td>
          </tr>
          <tr id="LC1075" class="js-file-line">
            <td id="L1075" class="blob-num js-line-number" data-line-number="1075"></td>
              <td>1073</td>
              <td>2018-En-02232</td>
              <td>When lil bro refills your water bottle cause it&#39;s a desert when I sleep... #cheering #lazysis</td>
              <td>joy</td>
              <td>0.531</td>
              <td>0</td>
          </tr>
          <tr id="LC1076" class="js-file-line">
            <td id="L1076" class="blob-num js-line-number" data-line-number="1076"></td>
              <td>1074</td>
              <td>2018-En-03158</td>
              <td>@jeonahjumma dont worry abt it bb</td>
              <td>fear</td>
              <td>0.29600000000000004</td>
              <td>0</td>
          </tr>
          <tr id="LC1077" class="js-file-line">
            <td id="L1077" class="blob-num js-line-number" data-line-number="1077"></td>
              <td>1075</td>
              <td>2018-En-03706</td>
              <td>Gonna find my baby gonna hold her tight gonna grab me some afternoon delight</td>
              <td>joy</td>
              <td>0.556</td>
              <td>0</td>
          </tr>
          <tr id="LC1078" class="js-file-line">
            <td id="L1078" class="blob-num js-line-number" data-line-number="1078"></td>
              <td>1076</td>
              <td>2018-En-03174</td>
              <td>When you feel like a smile will be fake, add a laugh to it. You will be surprised how joyful you will become.  #simplylovejesus</td>
              <td>joy</td>
              <td>0.609</td>
              <td>0</td>
          </tr>
          <tr id="LC1079" class="js-file-line">
            <td id="L1079" class="blob-num js-line-number" data-line-number="1079"></td>
              <td>1077</td>
              <td>2018-En-01885</td>
              <td>nothing happened to make me sad but i almost burst into tears like 3 times today¿</td>
              <td>sadness</td>
              <td>0.8540000000000001</td>
              <td>1</td>
          </tr>
          <tr id="LC1080" class="js-file-line">
            <td id="L1080" class="blob-num js-line-number" data-line-number="1080"></td>
              <td>1078</td>
              <td>2018-En-01117</td>
              <td>I hella should&#39;ve stayed natural in college</td>
              <td>sadness</td>
              <td>0.25</td>
              <td>0</td>
          </tr>
          <tr id="LC1081" class="js-file-line">
            <td id="L1081" class="blob-num js-line-number" data-line-number="1081"></td>
              <td>1079</td>
              <td>2018-En-00030</td>
              <td>@LDN_Muscle a #bright and early session this morning before work! #fullbody #ldnmladies surprised that it actually helped reduce my #doms</td>
              <td>joy</td>
              <td>0.629</td>
              <td>0</td>
          </tr>
          <tr id="LC1082" class="js-file-line">
            <td id="L1082" class="blob-num js-line-number" data-line-number="1082"></td>
              <td>1080</td>
              <td>2018-En-02579</td>
              <td>@JeannePaulShop @CrocBead This is such a pleasing color palette!</td>
              <td>joy</td>
              <td>0.5429999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1083" class="js-file-line">
            <td id="L1083" class="blob-num js-line-number" data-line-number="1083"></td>
              <td>1081</td>
              <td>2018-En-02945</td>
              <td>@karenlynnn I&#39;m just a dabbler but I&#39;m very glad to meet you as well. 😊</td>
              <td>joy</td>
              <td>0.677</td>
              <td>0</td>
          </tr>
          <tr id="LC1084" class="js-file-line">
            <td id="L1084" class="blob-num js-line-number" data-line-number="1084"></td>
              <td>1082</td>
              <td>2018-En-00253</td>
              <td>@WalmartToday your hitting it spot on with your commercials. Love the one with the town coming to eat and bringing chairs. #brilliant</td>
              <td>joy</td>
              <td>0.645</td>
              <td>0</td>
          </tr>
          <tr id="LC1085" class="js-file-line">
            <td id="L1085" class="blob-num js-line-number" data-line-number="1085"></td>
              <td>1083</td>
              <td>2018-En-00945</td>
              <td>My love for black people does not mean I resent white people.</td>
              <td>anger</td>
              <td>0.22699999999999998</td>
              <td>0</td>
          </tr>
          <tr id="LC1086" class="js-file-line">
            <td id="L1086" class="blob-num js-line-number" data-line-number="1086"></td>
              <td>1084</td>
              <td>2018-En-00804</td>
              <td>Morning! Good vibes today people!! It&#39;s July 11, 2017 at 09:00AM #goodmorning #twitter #happy</td>
              <td>joy</td>
              <td>0.7659999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1087" class="js-file-line">
            <td id="L1087" class="blob-num js-line-number" data-line-number="1087"></td>
              <td>1085</td>
              <td>2018-En-02390</td>
              <td>Today is your day... \nSoar your spirit. \nUnfurl your joy!\nWishing you all a bright week!\n #BloodyCrayonsSpecialScreening</td>
              <td>joy</td>
              <td>0.636</td>
              <td>0</td>
          </tr>
          <tr id="LC1088" class="js-file-line">
            <td id="L1088" class="blob-num js-line-number" data-line-number="1088"></td>
              <td>1086</td>
              <td>2018-En-01096</td>
              <td>@Kiranansi Phew, good. As much as I like adorable cats and dogs, your snek always makes me smile.</td>
              <td>joy</td>
              <td>0.542</td>
              <td>0</td>
          </tr>
          <tr id="LC1089" class="js-file-line">
            <td id="L1089" class="blob-num js-line-number" data-line-number="1089"></td>
              <td>1087</td>
              <td>2018-En-02705</td>
              <td>May God grant us the ability to see His unfailing love fill the earth 🌏 #Psalm33:5 #awe</td>
              <td>fear</td>
              <td>0.172</td>
              <td>0</td>
          </tr>
          <tr id="LC1090" class="js-file-line">
            <td id="L1090" class="blob-num js-line-number" data-line-number="1090"></td>
              <td>1088</td>
              <td>2018-En-00856</td>
              <td>once again, good afternoon to the uk charts only the us charts could take some notes from us 😊</td>
              <td>joy</td>
              <td>0.516</td>
              <td>0</td>
          </tr>
          <tr id="LC1091" class="js-file-line">
            <td id="L1091" class="blob-num js-line-number" data-line-number="1091"></td>
              <td>1089</td>
              <td>2018-En-00235</td>
              <td>Even though it is raining, sun will shine #AndrewGoldman_I @AndrewGoldman_I #wisdom #think #philosophy #knowledge #life #happy #joy #best</td>
              <td>joy</td>
              <td>0.625</td>
              <td>0</td>
          </tr>
          <tr id="LC1092" class="js-file-line">
            <td id="L1092" class="blob-num js-line-number" data-line-number="1092"></td>
              <td>1090</td>
              <td>2018-En-01583</td>
              <td>&#39;..... wear loose-fitting clothing, which allows your skin to breath and prevents irritation in at risk areas....&#39;</td>
              <td>anger</td>
              <td>0.27399999999999997</td>
              <td>0</td>
          </tr>
          <tr id="LC1093" class="js-file-line">
            <td id="L1093" class="blob-num js-line-number" data-line-number="1093"></td>
              <td>1091</td>
              <td>2018-En-01264</td>
              <td>I got to ride with and witness Amanda Coker break a 77 year old bicycling world record. Awesome athlete!  #amandacoker #tdf #relentless</td>
              <td>anger</td>
              <td>0.188</td>
              <td>0</td>
          </tr>
          <tr id="LC1094" class="js-file-line">
            <td id="L1094" class="blob-num js-line-number" data-line-number="1094"></td>
              <td>1092</td>
              <td>2018-En-00351</td>
              <td>Working at my kitchen table, with the 3D whirring next to me. Me working on some Facebook-stuff, the printer on a stimpack.  #bliss</td>
              <td>joy</td>
              <td>0.563</td>
              <td>0</td>
          </tr>
          <tr id="LC1095" class="js-file-line">
            <td id="L1095" class="blob-num js-line-number" data-line-number="1095"></td>
              <td>1093</td>
              <td>2018-En-03039</td>
              <td>Spread #hope, #peace, #love and #joy NOW! #TuesdayThoughts</td>
              <td>joy</td>
              <td>0.682</td>
              <td>0</td>
          </tr>
          <tr id="LC1096" class="js-file-line">
            <td id="L1096" class="blob-num js-line-number" data-line-number="1096"></td>
              <td>1094</td>
              <td>2018-En-03308</td>
              <td>Would love to stop crying sometime today, on my tenth cry 🙄 deep sadness on top of food poisoning do not mix. #miserable</td>
              <td>sadness</td>
              <td>0.857</td>
              <td>1</td>
          </tr>
          <tr id="LC1097" class="js-file-line">
            <td id="L1097" class="blob-num js-line-number" data-line-number="1097"></td>
              <td>1095</td>
              <td>2018-En-00872</td>
              <td>@PromilaSingh15 Thank you so much Promila aunty 😃</td>
              <td>joy</td>
              <td>0.6559999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1098" class="js-file-line">
            <td id="L1098" class="blob-num js-line-number" data-line-number="1098"></td>
              <td>1096</td>
              <td>2018-En-00055</td>
              <td>Thx @DirectEnergy for hosting us @StampedeShaker ❤️ my boys @TomCochraneMUS @Trooper @Sloanmusic 😍 #great #nite</td>
              <td>joy</td>
              <td>0.758</td>
              <td>0</td>
          </tr>
          <tr id="LC1099" class="js-file-line">
            <td id="L1099" class="blob-num js-line-number" data-line-number="1099"></td>
              <td>1097</td>
              <td>2018-En-00143</td>
              <td>@whounfollowedme - I&#39;m #very #glad to see You in my community !</td>
              <td>joy</td>
              <td>0.773</td>
              <td>0</td>
          </tr>
          <tr id="LC1100" class="js-file-line">
            <td id="L1100" class="blob-num js-line-number" data-line-number="1100"></td>
              <td>1098</td>
              <td>2018-En-04043</td>
              <td>I&#39;m an Indians fan so, I hate Joe Buck. Im glad he looks old af now. 😂 #bitter #AllStarGame</td>
              <td>fear</td>
              <td>0.28300000000000003</td>
              <td>0</td>
          </tr>
          <tr id="LC1101" class="js-file-line">
            <td id="L1101" class="blob-num js-line-number" data-line-number="1101"></td>
              <td>1099</td>
              <td>2018-En-01213</td>
              <td>I have so many things to look forward to ☺️ #positive  #lifeisgood</td>
              <td>joy</td>
              <td>0.8909999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1102" class="js-file-line">
            <td id="L1102" class="blob-num js-line-number" data-line-number="1102"></td>
              <td>1100</td>
              <td>2018-En-04053</td>
              <td>I&#39;m so ready to take off my sneakers. They hurting me 😭</td>
              <td>sadness</td>
              <td>0.813</td>
              <td>1</td>
          </tr>
          <tr id="LC1103" class="js-file-line">
            <td id="L1103" class="blob-num js-line-number" data-line-number="1103"></td>
              <td>1101</td>
              <td>2018-En-03695</td>
              <td>@Roberts_An28 Ahww noo don&#39;t be shy! I don&#39;t bite 😫❤</td>
              <td>fear</td>
              <td>0.397</td>
              <td>0</td>
          </tr>
          <tr id="LC1104" class="js-file-line">
            <td id="L1104" class="blob-num js-line-number" data-line-number="1104"></td>
              <td>1102</td>
              <td>2018-En-04156</td>
              <td>I can&#39;t afford to be unhappy. I&#39;ve made it this far and there isn&#39;t anything or anyone that&#39;s going to take my happiness away.</td>
              <td>fear</td>
              <td>0.397</td>
              <td>0</td>
          </tr>
          <tr id="LC1105" class="js-file-line">
            <td id="L1105" class="blob-num js-line-number" data-line-number="1105"></td>
              <td>1103</td>
              <td>2018-En-03057</td>
              <td>I wish for my Powers be multiplied and the Insight that I had into their understanding be made clearer #joy</td>
              <td>joy</td>
              <td>0.531</td>
              <td>0</td>
          </tr>
          <tr id="LC1106" class="js-file-line">
            <td id="L1106" class="blob-num js-line-number" data-line-number="1106"></td>
              <td>1104</td>
              <td>2018-En-03766</td>
              <td>They promised I would go blind but I still got 20/20 </td>
              <td>anger</td>
              <td>0.23399999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1107" class="js-file-line">
            <td id="L1107" class="blob-num js-line-number" data-line-number="1107"></td>
              <td>1105</td>
              <td>2018-En-03940</td>
              <td>Today&#39;s ECLIPSE was a warm fuzzy for the entire country. A GIANT GROUP HUG❤️😎💕#EclipseSolar2017 #repair #smiles</td>
              <td>joy</td>
              <td>0.813</td>
              <td>0</td>
          </tr>
          <tr id="LC1108" class="js-file-line">
            <td id="L1108" class="blob-num js-line-number" data-line-number="1108"></td>
              <td>1106</td>
              <td>2018-En-00345</td>
              <td>What a tremendous initiative by @HitKPKD &amp;amp; @ApolloHospitals  #SuperHitDonor</td>
              <td>fear</td>
              <td>0.13</td>
              <td>0</td>
          </tr>
          <tr id="LC1109" class="js-file-line">
            <td id="L1109" class="blob-num js-line-number" data-line-number="1109"></td>
              <td>1107</td>
              <td>2018-En-00186</td>
              <td>Nicole: we have to go somewhere warm and tropical\nMe: okay where?\nNicole: Oakland\n\nWhy does no one in my life ever look at a map?? #lost</td>
              <td>fear</td>
              <td>0.35700000000000004</td>
              <td>0</td>
          </tr>
          <tr id="LC1110" class="js-file-line">
            <td id="L1110" class="blob-num js-line-number" data-line-number="1110"></td>
              <td>1108</td>
              <td>2018-En-00727</td>
              <td>@GaryClarkJr  seriously best turn out for blues i have ever seen. #amazing</td>
              <td>joy</td>
              <td>0.75</td>
              <td>0</td>
          </tr>
          <tr id="LC1111" class="js-file-line">
            <td id="L1111" class="blob-num js-line-number" data-line-number="1111"></td>
              <td>1109</td>
              <td>2018-En-00550</td>
              <td>First class of the day &amp;amp; I have the hottest professor #god #is #good</td>
              <td>joy</td>
              <td>0.727</td>
              <td>0</td>
          </tr>
          <tr id="LC1112" class="js-file-line">
            <td id="L1112" class="blob-num js-line-number" data-line-number="1112"></td>
              <td>1110</td>
              <td>2018-En-02526</td>
              <td>@BroxtonDaniel I love you more than anything. I&#39;m so glad we&#39;re able to make each other so infinitely happy😊</td>
              <td>joy</td>
              <td>0.838</td>
              <td>0</td>
          </tr>
          <tr id="LC1113" class="js-file-line">
            <td id="L1113" class="blob-num js-line-number" data-line-number="1113"></td>
              <td>1111</td>
              <td>2018-En-03138</td>
              <td>A SPELLBINDING performance by @DebsNewbold. Electric physicality and sheer awe. A pleasure to watch, thank you. #ueafly</td>
              <td>joy</td>
              <td>0.578</td>
              <td>0</td>
          </tr>
          <tr id="LC1114" class="js-file-line">
            <td id="L1114" class="blob-num js-line-number" data-line-number="1114"></td>
              <td>1112</td>
              <td>2018-En-00739</td>
              <td>Wow, you guys @FarPostSA truly rock! You got all the transfer deals spot-on! Well done. #credible #concise #spoton #brilliant</td>
              <td>joy</td>
              <td>0.6970000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC1115" class="js-file-line">
            <td id="L1115" class="blob-num js-line-number" data-line-number="1115"></td>
              <td>1113</td>
              <td>2018-En-04011</td>
              <td>@AnteHarper I always preferred the quiver</td>
              <td>fear</td>
              <td>0.35</td>
              <td>0</td>
          </tr>
          <tr id="LC1116" class="js-file-line">
            <td id="L1116" class="blob-num js-line-number" data-line-number="1116"></td>
              <td>1114</td>
              <td>2018-En-00788</td>
              <td>Well seeing the #Eclipse2017 was #amazing really cool even though it only lasted 2 mins</td>
              <td>joy</td>
              <td>0.727</td>
              <td>0</td>
          </tr>
          <tr id="LC1117" class="js-file-line">
            <td id="L1117" class="blob-num js-line-number" data-line-number="1117"></td>
              <td>1115</td>
              <td>2018-En-03019</td>
              <td>If your nail polish has hardened or is gummy, place the bottle in a pan of boiling water. The polish will be like new.</td>
              <td>anger</td>
              <td>0.212</td>
              <td>0</td>
          </tr>
          <tr id="LC1118" class="js-file-line">
            <td id="L1118" class="blob-num js-line-number" data-line-number="1118"></td>
              <td>1116</td>
              <td>2018-En-00683</td>
              <td>Watching Senator Adeleke and his joyful dance steps this morning got me rolling. Dude can bougie</td>
              <td>joy</td>
              <td>0.672</td>
              <td>0</td>
          </tr>
          <tr id="LC1119" class="js-file-line">
            <td id="L1119" class="blob-num js-line-number" data-line-number="1119"></td>
              <td>1117</td>
              <td>2018-En-02415</td>
              <td>Roses are pine green buttercups are aliceblue sugar is sweet and so on</td>
              <td>sadness</td>
              <td>0.20800000000000002</td>
              <td>0</td>
          </tr>
          <tr id="LC1120" class="js-file-line">
            <td id="L1120" class="blob-num js-line-number" data-line-number="1120"></td>
              <td>1118</td>
              <td>2018-En-04071</td>
              <td>#My #Mind is free of all aspects of #fear and #pain &amp;amp; talk with me to produce #positive thought.\n#affirmation #thought #focus\nPlease retweet</td>
              <td>fear</td>
              <td>0.32799999999999996</td>
              <td>0</td>
          </tr>
          <tr id="LC1121" class="js-file-line">
            <td id="L1121" class="blob-num js-line-number" data-line-number="1121"></td>
              <td>1119</td>
              <td>2018-En-02515</td>
              <td>So happy Steven and I were together to experience that 💞 she&#39;s so beautiful</td>
              <td>joy</td>
              <td>0.79</td>
              <td>0</td>
          </tr>
          <tr id="LC1122" class="js-file-line">
            <td id="L1122" class="blob-num js-line-number" data-line-number="1122"></td>
              <td>1120</td>
              <td>2018-En-01712</td>
              <td>It takes less #muscles to #laugh than to #frown - stops facial &amp;amp; mental aging too! Laugh strongly &amp;amp; often to #lead effectively! #leadership</td>
              <td>sadness</td>
              <td>0.146</td>
              <td>0</td>
          </tr>
          <tr id="LC1123" class="js-file-line">
            <td id="L1123" class="blob-num js-line-number" data-line-number="1123"></td>
              <td>1121</td>
              <td>2018-En-03725</td>
              <td>My parents seen how sad I was n offered to pay the 1st 3 months in rent when he comes home til he get straight 😂😂😂😂 #blessed ❤️</td>
              <td>joy</td>
              <td>0.6559999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1124" class="js-file-line">
            <td id="L1124" class="blob-num js-line-number" data-line-number="1124"></td>
              <td>1122</td>
              <td>2018-En-00060</td>
              <td>2 hours of kip #class #blessed #happy #smiling</td>
              <td>joy</td>
              <td>0.768</td>
              <td>0</td>
          </tr>
          <tr id="LC1125" class="js-file-line">
            <td id="L1125" class="blob-num js-line-number" data-line-number="1125"></td>
              <td>1123</td>
              <td>2018-En-01490</td>
              <td>Chad and Sarah is honestly me and my ex 10 years ago 😂😂 #CBB #horrifying</td>
              <td>anger</td>
              <td>0.25</td>
              <td>0</td>
          </tr>
          <tr id="LC1126" class="js-file-line">
            <td id="L1126" class="blob-num js-line-number" data-line-number="1126"></td>
              <td>1124</td>
              <td>2018-En-03839</td>
              <td>So happy that I discovered coding...knowing what you want to do in life at the age of 23 is an amazing feeling.  #webdevelopment</td>
              <td>joy</td>
              <td>0.725</td>
              <td>0</td>
          </tr>
          <tr id="LC1127" class="js-file-line">
            <td id="L1127" class="blob-num js-line-number" data-line-number="1127"></td>
              <td>1125</td>
              <td>2018-En-03534</td>
              <td>@danabente Well, thank you. Sincerely 😊</td>
              <td>joy</td>
              <td>0.529</td>
              <td>0</td>
          </tr>
          <tr id="LC1128" class="js-file-line">
            <td id="L1128" class="blob-num js-line-number" data-line-number="1128"></td>
              <td>1126</td>
              <td>2018-En-03470</td>
              <td>Today in Selfcare: beauty &amp;amp; laughs Kung Fu Panda 3 #Wellness #joy #laughter #selfcare #therapist #philadelphia</td>
              <td>joy</td>
              <td>0.606</td>
              <td>0</td>
          </tr>
          <tr id="LC1129" class="js-file-line">
            <td id="L1129" class="blob-num js-line-number" data-line-number="1129"></td>
              <td>1127</td>
              <td>2018-En-02978</td>
              <td>@beyond_scratch @ben_nuttall @GuildfordLib The official pi jam kit has arrived! #RaspberryPi #excitement</td>
              <td>joy</td>
              <td>0.625</td>
              <td>0</td>
          </tr>
          <tr id="LC1130" class="js-file-line">
            <td id="L1130" class="blob-num js-line-number" data-line-number="1130"></td>
              <td>1128</td>
              <td>2018-En-03514</td>
              <td>Smartest way through any complex, hard &amp;amp; lengthy negotiation is to #consult, not #insult - #BoJo please take note. Never too late to learn!</td>
              <td>sadness</td>
              <td>0.156</td>
              <td>0</td>
          </tr>
          <tr id="LC1131" class="js-file-line">
            <td id="L1131" class="blob-num js-line-number" data-line-number="1131"></td>
              <td>1129</td>
              <td>2018-En-01976</td>
              <td>Edge of my seat @GameOfThrones loved it #dragonsontheWall </td>
              <td>sadness</td>
              <td>0.20800000000000002</td>
              <td>0</td>
          </tr>
          <tr id="LC1132" class="js-file-line">
            <td id="L1132" class="blob-num js-line-number" data-line-number="1132"></td>
              <td>1130</td>
              <td>2018-En-01843</td>
              <td>@SAVAGEKERMlT don&#39;t #worry, froggy\nit will SOON be TIME for #FROGFEARFRIDAY!</td>
              <td>fear</td>
              <td>0.375</td>
              <td>0</td>
          </tr>
          <tr id="LC1133" class="js-file-line">
            <td id="L1133" class="blob-num js-line-number" data-line-number="1133"></td>
              <td>1131</td>
              <td>2018-En-00501</td>
              <td>Living downtown for the first time while #tiff is happening. Schedule is out today! #excitement #thechildrenact #StanleyTucci #EmmaThompson</td>
              <td>anger</td>
              <td>0.23399999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC1134" class="js-file-line">
            <td id="L1134" class="blob-num js-line-number" data-line-number="1134"></td>
              <td>1132</td>
              <td>2018-En-01210</td>
              <td>Who&#39;s excited? The mighty @QLDmaroons or the @NSWRL #maroons #blues gonna be a spectacular game @suncorpstadium 🙋🏽‍♂️🙋🏽‍♂️ #Qld by 8</td>
              <td>sadness</td>
              <td>0.26899999999999996</td>
              <td>0</td>
          </tr>
          <tr id="LC1135" class="js-file-line">
            <td id="L1135" class="blob-num js-line-number" data-line-number="1135"></td>
              <td>1133</td>
              <td>2018-En-00986</td>
              <td>@NikkiWoods Start where you are. Use what you have. So what you can. AND do it with a #smile and #confidence. ❤</td>
              <td>joy</td>
              <td>0.606</td>
              <td>0</td>
          </tr>
          <tr id="LC1136" class="js-file-line">
            <td id="L1136" class="blob-num js-line-number" data-line-number="1136"></td>
              <td>1134</td>
              <td>2018-En-00625</td>
              <td>A #happy woman is always ., A #beautiful woman !😊😇\n#womanhood #beingwoman.</td>
              <td>joy</td>
              <td>0.797</td>
              <td>0</td>
          </tr>
          <tr id="LC1137" class="js-file-line">
            <td id="L1137" class="blob-num js-line-number" data-line-number="1137"></td>
              <td>1135</td>
              <td>2018-En-03444</td>
